qc_code,Id,LotFrontage,LotArea,BldgType,FullBath,HalfBath,TotRmsAbvGrd,YearBuilt,TotalBsmtSF,BedroomAbvGr,Heating,CentralAir,GrLivArea,PoolArea,YrSold,SalePrice,Qual,Cond,Age
71195,train_941,80,4500,1Fam,1,0,10,1937,728,2,GasA,Y,1214,0,2006,91111.2210154508,3A,2A,69
71195,train_4991,120,7226,1Fam,1,0,5,1970,560,2,GasA,Y,792,0,2008,75472.8281190225,3A,2A,38
165382,train_8224,78,10625,1Fam,1,1,7,1958,1468,4,GasA,Y,1291,0,2009,225069.2959556,9B,2A,51
165382,test_3038,,11600,1Fam,2,1,6,2005,1064,2,GasA,Y,2554,0,2010,,9B,2A,5
176130,test_3654,70,6629,1Fam,2,0,8,1880,1468,2,GasA,Y,1512,0,2010,,5B,3A,130
176130,train_5617,,14450,1Fam,2,0,4,1908,1452,2,GasA,Y,827,0,2007,95965.4563586176,5B,3A,99
176130,test_164,,12464,1Fam,2,1,8,1908,1454,3,GasA,Y,1939,0,2006,,5B,3A,98
176130,test_3102,70,10421,1Fam,2,0,5,1910,1024,3,GasA,Y,1775,0,2009,,5B,3A,99
176130,train_4197,,3010,1Fam,1,0,6,1924,1114,3,GasA,Y,2030,0,2007,111001.359838755,5B,3A,83
176130,train_9849,85,10140,1Fam,1,0,7,1934,720,3,GasA,Y,1855,0,2006,159910.417510714,5B,3A,72
176130,train_9699,,10800,1Fam,2,1,5,1940,504,3,GasA,Y,2403,0,2007,173510.171429535,5B,3A,67
176130,train_3976,82,9950,1Fam,1,1,8,1946,844,3,GasA,Y,1666,0,2009,79759.4030071494,5B,3A,63
176130,train_4131,,9525,1Fam,1,1,4,1947,1212,2,GasA,Y,969,0,2009,77749.7558244946,5B,3A,62
176130,test_2975,,7200,1Fam,2,1,7,1948,1216,2,GasA,Y,1756,0,2007,,5B,3A,59
176130,train_9758,,8820,1Fam,2,1,4,1950,858,4,GasA,N,1426,0,2006,162191.93379919,5B,3A,56
176130,test_291,130,9375,1Fam,2,0,5,1954,707,3,GasA,Y,1652,0,2007,,5B,3A,53
176130,test_4902,82,14331,1Fam,1,1,5,1954,1845,3,GasA,Y,1572,0,2008,,5B,3A,54
176130,train_5825,70,9786,1Fam,1,0,7,1955,1494,3,GasA,Y,1724,0,2008,132457.482909324,5B,3A,53
176130,train_7247,21,1526,1Fam,1,1,7,1955,1392,4,GasA,N,1382,0,2007,119388.619956363,5B,3A,52
176130,test_1466,70,10356,1Fam,2,1,6,1957,600,2,GasA,Y,1432,0,2010,,5B,3A,53
176130,train_3117,102,13006,1Fam,2,0,8,1958,576,3,GasA,Y,1935,0,2007,167474.595422671,5B,3A,49
176130,train_4963,69,9000,Twnhs,2,0,5,1959,1494,3,GasA,Y,875,0,2008,162880.486914621,5B,3A,49
176130,train_5030,74,8450,1Fam,2,0,8,1959,1498,3,GasA,Y,894,0,2007,91269.9133654691,5B,3A,48
176130,train_3516,70,28698,1Fam,2,1,7,1960,938,3,GasA,Y,1494,0,2007,126307.348005824,5B,3A,47
176130,test_2105,57,9525,TwnhsE,1,0,8,1961,384,2,GasA,Y,925,0,2007,,5B,3A,46
176130,test_1515,65,7892,TwnhsE,1,1,7,1962,1273,3,GasA,Y,1096,0,2007,,5B,3A,45
176130,train_6671,75,13125,Duplex,1,0,8,1963,1561,2,GasA,Y,1682,0,2007,177397.961619844,5B,3A,44
176130,train_5370,73,53107,1Fam,2,1,6,1964,1040,3,GasA,Y,1406,0,2008,168877.203501395,5B,3A,44
176130,test_2312,68,11851,1Fam,1,1,5,1964,1272,4,GasA,Y,1196,0,2009,,5B,3A,45
176130,train_4853,50,13400,1Fam,1,0,7,1965,1051,4,GasA,Y,1626,0,2009,132495.707420405,5B,3A,44
176130,train_5600,91,6371,1Fam,2,1,6,1967,686,2,GasA,Y,1689,0,2009,113147.166486185,5B,3A,42
176130,test_434,79,9765,1Fam,2,0,5,1975,808,3,GasA,Y,988,0,2007,,5B,3A,32
176130,train_860,60,9803,1Fam,2,0,6,1976,858,4,GasA,Y,1235,0,2009,75847.8384024878,5B,3A,33
176130,train_7069,73,17503,1Fam,1,0,6,1976,910,3,GasA,Y,1060,0,2008,128200.700804392,5B,3A,32
176130,train_4522,149,13501,1Fam,1,1,8,1977,926,1,GasA,Y,1661,0,2006,164775.392069219,5B,3A,29
176130,train_4888,,9020,1Fam,1,0,6,1977,1184,3,GasA,Y,1208,0,2009,91154.2686502046,5B,3A,32
176130,test_1503,79,3072,1Fam,1,1,6,1977,1947,4,GasA,Y,882,0,2009,,5B,3A,32
176130,test_2882,64,8924,1Fam,2,0,5,1977,1086,3,GasA,Y,1392,0,2008,,5B,3A,31
176130,train_2962,60,9920,1Fam,2,1,9,1982,1234,3,GasA,Y,2418,0,2006,200815.858649097,5B,3A,24
176130,train_7532,,70761,1Fam,1,1,7,1989,1470,2,GasA,Y,1375,0,2008,223190.000548124,5B,3A,19
176130,test_4786,70,39104,Twnhs,1,0,11,2001,861,3,GasA,Y,1422,0,2006,,5B,3A,5
176130,train_375,60,7560,1Fam,1,0,5,2004,1090,4,GasA,Y,1296,0,2007,110919.840374658,5B,3A,3
176130,train_1493,78,7472,1Fam,2,0,4,2004,1141,3,GasA,Y,835,0,2007,88382.5760598571,5B,3A,3
176130,train_7254,85,17671,1Fam,2,0,6,2004,992,3,GasA,Y,1928,0,2007,175434.645057141,5B,3A,3
176130,train_8582,95,14000,Duplex,1,1,5,2004,725,3,GasW,N,1391,0,2006,98601.981388482,5B,3A,2
176130,train_6729,66,9600,Twnhs,2,1,9,2006,561,3,GasA,N,1099,0,2007,122623.445129829,5B,3A,1
176130,test_519,95,10175,1Fam,1,0,6,2006,858,3,GasA,Y,1385,0,2008,,5B,3A,2
176130,train_4332,92,6120,TwnhsE,1,0,6,2007,1734,2,GasA,Y,1053,0,2009,177729.233518354,5B,3A,2
176130,test_1918,63,14948,1Fam,1,0,8,2007,1060,3,GasA,Y,1184,0,2007,,5B,3A,0
176130,train_7481,,6792,1Fam,2,1,6,2008,1868,3,GasA,N,1250,0,2010,167099.093669625,5B,3A,2
176130,train_1293,65,27650,1Fam,2,0,6,2009,1304,2,GasA,Y,1719,0,2009,210213.084608107,5B,3A,0
248154,train_28,70,5820,1Fam,1,0,4,1882,849,3,GasA,Y,1026,0,2007,202141.322125297,10B,7B,125
248154,train_4514,47,16259,1Fam,2,0,14,1890,896,2,GasA,Y,1131,0,2007,232116.062413078,10B,7B,117
248154,test_1111,67,8248,1Fam,2,0,7,1908,1107,3,GasA,Y,630,0,2007,,10B,7B,99
248154,train_906,60,3182,1Fam,1,1,8,1910,991,4,GasA,Y,996,0,2007,187086.556606577,10B,7B,97
248154,test_4191,,11184,TwnhsE,2,0,7,1954,1029,3,GasA,Y,1766,0,2009,,10B,7B,55
248154,test_3323,60,6120,Twnhs,2,0,7,1957,1440,3,GasA,Y,1905,0,2007,,10B,7B,50
248154,train_2092,60,7800,1Fam,1,1,5,1959,936,3,GasA,Y,864,0,2009,259763.728814033,10B,7B,50
248154,train_4317,69,8990,1Fam,1,1,7,1961,1896,3,GasW,Y,1310,0,2008,263535.614691147,10B,7B,47
248154,test_2233,,8750,1Fam,2,1,5,1965,1138,3,GasA,Y,630,0,2008,,10B,7B,43
248154,test_3088,80,8472,1Fam,2,1,5,1967,658,4,GasA,Y,1337,0,2009,,10B,7B,42
248154,test_27,60,11317,1Fam,1,0,7,1968,1496,2,GasA,Y,864,0,2008,,10B,7B,40
248154,test_2962,69,8314,1Fam,2,1,5,1970,1273,2,GasA,Y,1501,0,2007,,10B,7B,37
248154,train_2359,,8314,1Fam,2,0,7,1971,793,3,GasA,Y,1234,0,2006,195112.346567076,10B,7B,35
248154,test_1255,67,8012,1Fam,2,1,6,1972,864,4,GasA,Y,1502,0,2008,,10B,7B,36
248154,train_2886,96,10355,1Fam,1,1,7,1974,1064,3,GasA,Y,1004,0,2007,220099.925080002,10B,7B,33
248154,train_4978,60,11249,1Fam,2,0,6,1976,1184,3,GasA,Y,2031,0,2008,296766.089280502,10B,7B,32
248154,train_1876,93,70761,1Fam,1,1,9,1977,1554,3,GasA,Y,2013,0,2009,376576.435093129,10B,7B,32
248154,train_2196,70,6000,1Fam,2,0,7,1977,1190,3,GasA,Y,1320,0,2009,240272.993610945,10B,7B,32
248154,test_3185,,14215,1Fam,1,1,5,1979,689,3,GasA,Y,1682,0,2006,,10B,7B,27
248154,train_4330,52,13286,1Fam,1,0,6,1999,561,3,GasA,Y,1976,0,2008,274374.805325942,10B,7B,9
248154,train_4384,60,6000,1Fam,2,0,10,1999,912,2,GasA,Y,1651,0,2008,256145.291075907,10B,7B,9
248154,train_4161,92,10846,1Fam,2,0,8,2002,768,2,GasA,Y,1248,0,2010,242703.824817668,10B,7B,8
248154,train_5928,80,15593,1Fam,2,0,7,2003,853,4,GasA,N,1355,0,2007,256875.622334591,10B,7B,4
248154,train_1045,67,14226,1Fam,2,1,5,2004,970,3,GasA,Y,1525,0,2010,237891.313875539,10B,7B,6
248154,train_1701,129,6120,1Fam,2,1,4,2006,547,2,GasA,Y,1150,0,2008,192495.452772215,10B,7B,2
248154,train_1719,59,11500,Twnhs,1,0,6,2007,384,3,GasA,Y,1742,0,2007,236527.076991045,10B,7B,0
248154,test_2983,80,7540,1Fam,3,0,4,2010,793,2,GasA,Y,1440,0,2006,,10B,7B,-4
351249,train_6475,60,8400,1Fam,2,1,6,1954,1626,2,GasA,Y,1855,0,2007,302412.48345452,10B,4B,53
351249,train_2019,,11900,1Fam,2,0,5,1957,1144,2,GasA,Y,1248,0,2006,223287.167950109,10B,4B,49
351249,train_2037,70,4224,1Fam,2,1,6,1965,1080,2,GasA,Y,1473,0,2010,224020.392732676,10B,4B,45
351249,train_8636,70,10800,TwnhsE,3,1,7,2006,994,3,GasA,Y,848,0,2009,212880.974804851,10B,4B,3
681210,train_4571,80,13501,1Fam,1,1,5,1900,1032,3,GasA,Y,1993,0,2006,174283.593910155,3A,6B,106
681210,train_1298,85,10880,TwnhsE,1,1,4,1918,1700,3,GasA,Y,1855,0,2007,173786.225356238,3A,6B,89
681210,train_3663,78,6000,1Fam,2,1,8,1923,768,3,GasA,Y,1385,0,2009,122383.309320214,3A,6B,86
681210,test_1645,,9245,1Fam,1,1,11,1947,728,3,GasA,Y,1125,0,2007,,3A,6B,60
681210,train_157,63,11200,1Fam,2,0,7,1951,912,3,GasA,Y,1003,0,2006,119704.741445546,3A,6B,55
681210,train_8549,,3196,1Fam,2,1,8,1954,784,3,GasA,Y,999,0,2006,72072.5569898653,3A,6B,52
681210,test_1143,40,8765,1Fam,2,0,5,1954,840,3,GasA,Y,1220,0,2007,,3A,6B,53
681210,test_1589,43,31770,1Fam,2,1,6,1954,747,3,GasA,Y,1258,0,2006,,3A,6B,52
681210,test_4968,,3182,Duplex,1,1,6,1954,1413,3,GasA,Y,2418,0,2010,,3A,6B,56
681210,train_1703,106,4426,TwnhsE,2,1,9,1964,725,3,GasA,Y,935,0,2007,95895.3603833626,3A,6B,43
681210,train_1148,150,6442,Duplex,2,1,6,1965,884,3,GasA,Y,1800,0,2007,95529.7504557378,3A,6B,42
681210,train_5410,60,10800,1Fam,1,0,5,1965,1566,3,GasA,Y,1709,0,2008,148220.395936954,3A,6B,43
681210,train_5638,72,7540,1Fam,1,0,5,1976,684,3,GasA,Y,2046,0,2009,150935.537775858,3A,6B,33
681210,train_5078,65,1526,1Fam,2,1,7,1977,483,2,GasA,Y,1056,0,2008,126102.520616045,3A,6B,31
681210,train_6639,,7820,1Fam,1,1,7,1977,870,4,GasA,Y,2000,0,2007,189110.384085506,3A,6B,30
681210,train_7678,85,5925,2fmCon,2,1,8,1980,1362,3,GasA,Y,2062,0,2010,188247.296350374,3A,6B,30
681210,train_850,130,25095,TwnhsE,2,0,6,1981,0,3,GasA,Y,2332,0,2009,157830.263868988,3A,6B,28
681210,train_8928,,8125,1Fam,2,0,4,1993,936,4,GasA,Y,1117,0,2007,80195.1230507987,3A,6B,14
