LotArea,GrLivArea,CentralAir,Cond,Qual,SalePrice
4500,1214,Y,2A,3A,91111.2210154508
7226,792,Y,2A,3A,75472.8281190225
10625,1291,Y,2A,9B,225069.2959556
14450,827,Y,3A,5B,95965.4563586176
3010,2030,Y,3A,5B,111001.359838755
10140,1855,Y,3A,5B,159910.417510714
10800,2403,Y,3A,5B,173510.171429535
9950,1666,Y,3A,5B,79759.4030071494
9525,969,Y,3A,5B,77749.7558244946
8820,1426,N,3A,5B,162191.93379919
9786,1724,Y,3A,5B,132457.482909324
1526,1382,N,3A,5B,119388.619956363
13006,1935,Y,3A,5B,167474.595422671
9000,875,Y,3A,5B,162880.486914621
8450,894,Y,3A,5B,91269.9133654691
28698,1494,Y,3A,5B,126307.348005824
13125,1682,Y,3A,5B,177397.961619844
53107,1406,Y,3A,5B,168877.203501395
13400,1626,Y,3A,5B,132495.707420405
6371,1689,Y,3A,5B,113147.166486185
9803,1235,Y,3A,5B,75847.8384024878
17503,1060,Y,3A,5B,128200.700804392
13501,1661,Y,3A,5B,164775.392069219
9020,1208,Y,3A,5B,91154.2686502046
9920,2418,Y,3A,5B,200815.858649097
70761,1375,Y,3A,5B,223190.000548124
7560,1296,Y,3A,5B,110919.840374658
7472,835,Y,3A,5B,88382.5760598571
17671,1928,Y,3A,5B,175434.645057141
14000,1391,N,3A,5B,98601.981388482
9600,1099,N,3A,5B,122623.445129829
6120,1053,Y,3A,5B,177729.233518354
6792,1250,N,3A,5B,167099.093669625
27650,1719,Y,3A,5B,210213.084608107
5820,1026,Y,7B,10B,202141.322125297
16259,1131,Y,7B,10B,232116.062413078
3182,996,Y,7B,10B,187086.556606577
7800,864,Y,7B,10B,259763.728814033
8990,1310,Y,7B,10B,263535.614691147
8314,1234,Y,7B,10B,195112.346567076
10355,1004,Y,7B,10B,220099.925080002
11249,2031,Y,7B,10B,296766.089280502
70761,2013,Y,7B,10B,376576.435093129
6000,1320,Y,7B,10B,240272.993610945
13286,1976,Y,7B,10B,274374.805325942
6000,1651,Y,7B,10B,256145.291075907
10846,1248,Y,7B,10B,242703.824817668
15593,1355,N,7B,10B,256875.622334591
14226,1525,Y,7B,10B,237891.313875539
6120,1150,Y,7B,10B,192495.452772215
11500,1742,Y,7B,10B,236527.076991045
8400,1855,Y,4B,10B,302412.48345452
11900,1248,Y,4B,10B,223287.167950109
4224,1473,Y,4B,10B,224020.392732676
10800,848,Y,4B,10B,212880.974804851
13501,1993,Y,6B,3A,174283.593910155
10880,1855,Y,6B,3A,173786.225356238
6000,1385,Y,6B,3A,122383.309320214
11200,1003,Y,6B,3A,119704.741445546
3196,999,Y,6B,3A,72072.5569898653
4426,935,Y,6B,3A,95895.3603833626
6442,1800,Y,6B,3A,95529.7504557378
10800,1709,Y,6B,3A,148220.395936954
7540,2046,Y,6B,3A,150935.537775858
1526,1056,Y,6B,3A,126102.520616045
7820,2000,Y,6B,3A,189110.384085506
5925,2062,Y,6B,3A,188247.296350374
25095,2332,Y,6B,3A,157830.263868988
8125,1117,Y,6B,3A,80195.1230507987
21780,1086,Y,6B,3A,150949.152965877
12220,1640,Y,6B,3A,207688.406052747
4590,1668,Y,6B,3A,163315.940292625
2665,1869,Y,6B,3A,162739.95837756
6820,334,Y,6B,3A,102641.205252911
6900,1100,Y,6B,3A,123503.428030342
7800,858,Y,6B,3A,84477.1445495199
9873,1319,Y,6B,3A,158076.061555894
6993,1214,Y,5B,8B,224581.73010304
7200,1712,Y,5B,8B,176552.201072425
9800,1111,Y,5B,8B,180661.98457019
13478,1721,Y,5B,8B,162695.974736824
3951,2035,N,5B,8B,221228.922660644
9018,1680,Y,5B,8B,197578.377794597
6897,1756,Y,5B,8B,174494.268113023
17600,1225,Y,5B,8B,218437.604195673
12220,1252,Y,5B,8B,187178.08680337
9100,720,Y,5B,8B,139234.455906449
9196,1142,Y,5B,8B,158413.126902962
8532,1548,Y,5B,8B,186191.019339974
7244,2414,Y,5B,8B,216022.849454917
12508,1241,Y,5B,8B,165266.468825635
9600,2353,Y,5B,8B,262953.644725746
12137,848,Y,5B,8B,146843.491163762
10142,1968,Y,5B,8B,226494.358294012
1680,1336,Y,5B,8B,157267.730732422
17104,1442,Y,5B,8B,242739.01232909
12354,1034,Y,5B,8B,161399.68590734
11040,1442,Y,5B,8B,189881.841720196
